feature,scaled_value,baseline_value,importance,abs_importance
diabetes,1.9726189,-0.5069403,0.001879388,0.001879388
patient_id,-1.7113044,-0.009398227,0.0013966437,0.0013966437
patient_age,-1.9882696,0.1447263,0.00022285219,0.00022285219
patient_sex,0.8004499,0.8004499,0.0,0.0
optic_disc,-0.56656414,-0.56656414,-0.0,0.0
vessels,-0.29321748,-0.29321748,0.0,0.0
macula,-0.8296749,-0.8296749,-0.0,0.0
macular_edema,-0.26449117,-0.26449117,-0.0,0.0
drusens,-0.50971144,-0.50971144,0.0,0.0
myopic_fundus,-0.1423701,-0.1423701,-0.0,0.0
